title,rating,number_of_reviews,category,address,website,phone,img_link,link
VA WEBHUB WEB DESIGN CUTTACK,4.9,31,Website designer,"Plot no - D/1213, 10, CDA Sec - 10, Cuttack, Odisha 753014",vawebhub.com,099376 21642,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=STtOFNy7Ap_Xh8uJfUuKDw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=262.42966&pitch=0&thumbfov=100,https://www.google.com/maps/place/VA+WEBHUB+WEB+DESIGN+CUTTACK/data=!4m7!3m6!1s0x3a1911e6903aef8f:0xda736f2e08f47983!8m2!3d20.4822368!4d85.820928!16s%2Fg%2F11tfg34vfq!19sChIJj-86kOYRGToRg3n0CC5vc9o?authuser=0&hl=en&rclk=1
Antler's Solution || Web Designing and Development Service,4.9,42,Website designer,"puja mandap, Puja Mandapa, in front of siba bazar, Cuttack, Odisha 753071",antlerssolution.com,099384 76172,https://lh5.googleusercontent.com/p/AF1QipPXXrwPq4t9tb62VqiOaaHbdFmRsmoL8M_KZUa9=w426-h240-k-no,https://www.google.com/maps/place/Antler%27s+Solution+%7C%7C+Web+Designing+and+Development+Service/data=!4m7!3m6!1s0x3a190ddfe4bcca0b:0x8212284486f5b6fc!8m2!3d20.4659531!4d85.8764695!16s%2Fg%2F11mx5vv4xt!19sChIJC8q85N8NGToR_Lb1hkQoEoI?authuser=0&hl=en&rclk=1
Walk Digitally,4.6,54,Website designer,"C-446, above Urban Bank, CDA Sector VI, Cuttack, Odisha 753014",walkdigitally.com,063719 23884,https://lh5.googleusercontent.com/p/AF1QipPPssaP6NVLPoiQv4Va1mjYu5VFG-kxJqwmpg90=w408-h544-k-no,https://www.google.com/maps/place/Walk+Digitally/data=!4m7!3m6!1s0x3a1912000fffffff:0x5fab0105086732aa!8m2!3d20.4745558!4d85.8445416!16s%2Fg%2F11q9rsz7fz!19sChIJ____DwASGToRqjJnCAUBq18?authuser=0&hl=en&rclk=1
Softech18.com,4.7,28,Website designer,"PLOT NO.3D-1213, Next to Electric Poll No.461, Behind Paris Bakery, CDA,At/Po: Markat Nagar, Sector-10, adjacent field, CDA Sec - 10, Cuttack, Odisha 753010",softech18.com,099378 57561,https://lh5.googleusercontent.com/p/AF1QipMAX9q0dhfzH0ep5BEgf231yu6QGoeNg_YfAfHV=w426-h240-k-no,https://www.google.com/maps/place/Softech18.com/data=!4m7!3m6!1s0x3a191173dc169053:0x26696d3833f352ab!8m2!3d20.4834864!4d85.8196308!16s%2Fg%2F11j6zx03nn!19sChIJU5AW3HMRGToRq1LzMzhtaSY?authuser=0&hl=en&rclk=1
Famoron,4.9,8,Website designer,"C/O Sk Riaz Sidherswar sahi, Infront of church lane P/O, Tulsipur, Cuttack, Odisha 753008",,070084 41705,,https://www.google.com/maps/place/Famoron/data=!4m7!3m6!1s0x3a191206a1954cf9:0xd0f063719fd59ab8!8m2!3d20.4779898!4d85.8549407!16s%2Fg%2F11f08vcwty!19sChIJ-UyVoQYSGToRuJrVn3Fj8NA?authuser=0&hl=en&rclk=1
Oricube Technology and Services Pvt. Ltd.,4.8,5,Website designer,"OSEB Colony, Cuttack, Odisha 753012",oricubetechnology.com,0671 233 2608,,https://www.google.com/maps/place/Oricube+Technology+and+Services+Pvt.+Ltd./data=!4m7!3m6!1s0x3a190d9934bfbfaf:0xd9a8a697dc281a49!8m2!3d20.453399!4d85.8843715!16s%2Fg%2F11bbw_rxlw!19sChIJr7-_NJkNGToRSRoo3JemqNk?authuser=0&hl=en&rclk=1
Sradha WebCreations,5.0,370,Software company,"Jobra Rd, Municipal Colony, Cuttack, Odisha 753003",sradhawebcreations.com,070081 82025,,https://www.google.com/maps/place/Sradha+WebCreations/data=!4m7!3m6!1s0x3a190d7d43625779:0x572edf43c130b273!8m2!3d20.4724912!4d85.8988166!16s%2Fg%2F11c5bhd4mg!19sChIJeVdiQ30NGToRc7IwwUPfLlc?authuser=0&hl=en&rclk=1
Your Creator,5.0,5,Website designer,"Jhanjirimangala, Cuttack, Odisha 753009",yourcreator.in,070087 94664,,https://www.google.com/maps/place/Your+Creator/data=!4m7!3m6!1s0x3a190d33867f7693:0x5f9f21fb9fb1d798!8m2!3d20.4579439!4d85.8788737!16s%2Fg%2F11fswwh6xn!19sChIJk3Z_hjMNGToRmNexn_shn18?authuser=0&hl=en&rclk=1
KOM Leads,4.7,12,Internet marketing service,"Tilottama Niwas, Shankarpur Colony, Paniapada, Cuttack, Odisha 753012",komleads.com,083349 87627,,https://www.google.com/maps/place/KOM+Leads/data=!4m7!3m6!1s0x3a190d741555556f:0x9b255cccfab6e14!8m2!3d20.453906!4d85.893391!16s%2Fg%2F11fylnt48t!19sChIJb1VVFXQNGToRFG6rz8xVsgk?authuser=0&hl=en&rclk=1
Cretworld,5.0,50,Graphic designer,"Nuapatna Rd, Nuapatna, Maachhua Bazar, Cuttack, Odisha 753007",cretworld.in,091828 00123,,https://www.google.com/maps/place/Cretworld/data=!4m7!3m6!1s0x3a19127f47aaaaab:0x16fbb413d95da48f!8m2!3d20.4745838!4d85.8851316!16s%2Fg%2F11g8_2j7k3!19sChIJq6qqR38SGToRj6Rd2RO0-xY?authuser=0&hl=en&rclk=1
Swarna Techlab,5.0,8,Software company,"Bhadimul, C.R, R.I, Cuttack, Odisha 753006",swarnatechlab.com,076559 15251,,https://www.google.com/maps/place/Swarna+Techlab/data=!4m7!3m6!1s0x3a19738a1b58a9ad:0x8d29aa85c019f501!8m2!3d20.4573129!4d85.9351169!16s%2Fg%2F11j3jgfdzl!19sChIJralYG4pzGToRAfUZwIWqKY0?authuser=0&hl=en&rclk=1
Techspyware,5.0,10,Software company,"CDA, B-53, Sec-10, Justice Square, Cuttack, Odisha 753014",techspyware.com,082499 75498,,https://www.google.com/maps/place/Techspyware/data=!4m7!3m6!1s0x3a1911cfd7c41af1:0x2bc1ff6589686e74!8m2!3d20.4822572!4d85.8181837!16s%2Fg%2F11l4y37d5h!19sChIJ8RrE188RGToRdG5oiWX_wSs?authuser=0&hl=en&rclk=1
ALLQH Digital Mart,4.9,14,Web hosting company,"P.S, At-Plot No.10-1B/558,Sector-10,CDA, Bidanasi, Cuttack, Odisha 753014",,082605 34787,,https://www.google.com/maps/place/ALLQH+Digital+Mart/data=!4m7!3m6!1s0x3a190d1793714a6d:0xc1c52860d51e4773!8m2!3d20.4829482!4d85.8212171!16s%2Fg%2F11q2yd8tfr!19sChIJbUpxkxcNGToRc0ce1WAoxcE?authuser=0&hl=en&rclk=1
Digital Eraz,5.0,7,Software company,"near Kid Zee, Judge Colony, CDA Sec - 10, Cuttack, Odisha 753014",digitaleraz.com,098614 57643,https://maps.gstatic.com/tactile/pane/default_geocode-2x.png,https://www.google.com/maps/place/Digital+Eraz/data=!4m7!3m6!1s0x3a1911d0f2bab203:0xc2b4691189c37a81!8m2!3d20.4855163!4d85.8168888!16s%2Fg%2F11h84_ljxg!19sChIJA7K68tARGToRgXrDiRFptMI?authuser=0&hl=en&rclk=1
